Stage,type,Name,PM,PC1,PC2,PC3,PC4,maha
4-5.5 m,VPA,Bach,5.5,-109.27817089196046,9.81520417124425,28.76957864820611,-11.292230871529481,75.74869571187666
4-5.5 m,VPA,Brahms,4.5,-23.52090642838911,38.59057720038222,-1.8286266000976599,0.6050768629410515,8.56178137554424
4-5.5 m,VPA,Brahms,4.75,-12.08565117814721,35.66066601840723,-3.0143288324806052,-21.47453545531324,32.356102630758755
4-5.5 m,VPA,Brahms,5.25,-95.82044589292208,25.092516035796248,6.352434111402391,11.879747978091222,9.186472522203797
4-5.5 m,VPA,Camaro,4.25,47.54638614930085,22.358682490568242,-4.519257330237689,9.556451920001232,5.2525771170131526
4-5.5 m,VPA,Camaro,5,60.60320433088411,60.93088694270813,1.0372220829182632,-19.34045299685466,21.35799100656104
4-5.5 m,VPA,Camaro,5.5,75.25160413765096,54.82889584898911,0.978015782285334,-5.302412207085057,5.3796003243914265
4-5.5 m,VPA,Cheecama,4.25,60.045559416499756,42.85163131327441,-0.9594983665946599,-0.3580293027703949,3.472898682494561
4-5.5 m,VPA,Cheecama,4.75,105.08251389984763,48.85110269571158,-0.6205180963087165,4.1603472242866815,1.7167854141872871
4-5.5 m,VPA,Cheecama,5.5,99.24803674321389,56.809802418393055,1.6988408844647322,-20.083478178519822,17.82421325507809
4-5.5 m,VPA,Chevrolet,4.25,123.96276028902017,64.83036882404058,2.4436525147856623,10.768169178630654,2.0720770552406576
4-5.5 m,VPA,Chevrolet,5,82.67223529539207,5.870062666560458,-7.4044856559702374,12.051100321470898,13.879764017751725
4-5.5 m,VPA,Chevrolet,5.5,71.4997265989129,53.246259915792,2.286528559894262,3.661379173476496,0.788849106143094
4-5.5 m,VPA,Ipsum,4.25,161.17782016980271,-803.5519956387525,260.49337976288285,-6.24739152640587,14271.442119261372
4-5.5 m,VPA,Ipsum,5,185.12409417789576,-785.29361986219806,-149.89579544295827,7.234925955678822,4413.029884539979
4-5.5 m,VPA,Ipsum,5.5,152.27996611256344,-295.32572376715115,15.953664454500844,4.606381362944035,887.4003991599383
4-5.5 m,VPA,Taco,4.5,125.71219470796922,41.10267953027241,3.728506736651592,-4.311293406019176,4.045849323203335
4-5.5 m,VPA,Taco,4.75,130.5211674098029,52.83400461972429,8.823862750041698,-0.25403745816996043,4.421354210060958
4-5.5 m,VPA,Taco,5.5,130.24580620046237,54.630833001871515,2.3552850839761854,-1.3577581304966806,2.338417661204928
